Toss Fair Biased
1 1.000000 1.000000
2 1.000000 1.000000
3 0.666667 0.666667
4 0.750000 0.750000
5 0.800000 0.800000
6 0.833333 0.833333
7 0.857143 0.714286
8 0.875000 0.750000
9 0.888889 0.777778
10 0.900000 0.700000
11 0.909091 0.727273
12 0.833333 0.750000
13 0.769231 0.769231
14 0.785714 0.785714
15 0.800000 0.800000
16 0.750000 0.750000
17 0.705882 0.764706
18 0.722222 0.777778
19 0.736842 0.736842
20 0.750000 0.750000
21 0.714286 0.761905
22 0.727273 0.727273
23 0.739130 0.739130
24 0.708333 0.708333
25 0.680000 0.720000
26 0.692308 0.730769
27 0.703704 0.740741
28 0.714286 0.750000
29 0.689655 0.758621
30 0.700000 0.766667
31 0.677419 0.774194
32 0.687500 0.750000
33 0.696970 0.757576
34 0.676471 0.764706
35 0.657143 0.771429
36 0.638889 0.777778
37 0.621622 0.783784
38 0.631579 0.763158
39 0.641026 0.769231
40 0.650000 0.750000
41 0.634146 0.731707
42 0.619048 0.738095
43 0.627907 0.744186
44 0.613636 0.727273
45 0.622222 0.711111
46 0.608696 0.695652
47 0.617021 0.702128
48 0.625000 0.708333
49 0.612245 0.693878
50 0.620000 0.680000
51 0.607843 0.686275
52 0.596154 0.673077
53 0.603774 0.679245
54 0.592593 0.666667
55 0.600000 0.654545
56 0.607143 0.660714
57 0.614035 0.666667
58 0.603448 0.672414
59 0.593220 0.677966
60 0.600000 0.666667
61 0.606557 0.672131
62 0.596774 0.661290
63 0.587302 0.666667
64 0.578125 0.656250
65 0.584615 0.661538
66 0.575758 0.666667
67 0.582090 0.671642
68 0.573529 0.661765
69 0.565217 0.666667
70 0.571429 0.671429
71 0.563380 0.676056
72 0.569444 0.666667
73 0.561644 0.671233
74 0.554054 0.675676
75 0.560000 0.680000
76 0.565789 0.684211
77 0.558442 0.688312
78 0.564103 0.692308
79 0.556962 0.683544
80 0.562500 0.675000
81 0.555556 0.679012
82 0.560976 0.682927
83 0.554217 0.686747
84 0.547619 0.690476
85 0.541176 0.682353
86 0.546512 0.674419
87 0.551724 0.666667
88 0.545455 0.670455
89 0.539326 0.674157
90 0.533333 0.666667
91 0.527473 0.670330
92 0.521739 0.663043
93 0.526882 0.666667
94 0.521277 0.670213
95 0.515789 0.673684
96 0.520833 0.677083
97 0.515464 0.680412
98 0.510204 0.683673
99 0.505051 0.676768
100 0.500000 0.670000
101 0.504950 0.673267
102 0.509804 0.676471
103 0.504854 0.669903
104 0.509615 0.673077
105 0.504762 0.676190
