n Optimized Normal
10 44 45
20 180 190
30 420 435
40 752 780
50 1210 1225
60 1734 1770
70 2370 2415
80 3007 3160
90 3914 4005
100 4779 4950
110 5824 5995
120 6930 7140
130 8232 8385
140 9702 9730
150 11147 11175
160 12675 12720
170 14260 14365
180 16005 16110
190 17252 17955
200 19120 19900
210 21792 21945
220 23954 24090
230 26182 26335
240 28490 28680
250 31034 31125
260 33345 33670
270 36260 36315
280 38807 39060
290 41895 41905
300 44835 44850
310 47829 47895
320 50544 51040
330 54165 54285
340 57525 57630
350 60669 61075
360 64155 64620
370 68034 68265
380 71344 72010
390 75777 75855
400 79695 79800
410 83725 83845
420 87800 87990
430 91910 92235
440 95677 96580
450 99134 101025
460 105399 105570
470 110110 110215
480 114729 114960
490 119634 119805
500 124540 124750
510 129200 129795
520 133400 134940
530 139975 140185
540 145509 145530
550 150884 150975
560 156085 156520
570 161345 162165
580 167280 167910
590 173377 173755
600 179634 179700
610 185217 185745
620 191149 191890
630 198069 198135
640 204470 204480
650 210184 210925
660 216294 217470
670 223412 224115
680 230584 230860
690 237474 237705
700 243870 244650
710 250749 251695
720 257979 258840
730 265932 266085
740 273420 273430
750 279600 280875
760 288042 288420
770 295659 296065
780 303744 303810
790 311355 311655
800 317889 319600
810 326904 327645
820 335384 335790
830 343657 344035
840 351915 352380
850 359285 360825
860 368380 369370
870 377844 378015
880 386745 386760
890 395584 395605
900 403989 404550
910 412649 413595
920 422212 422740
930 431319 431985
940 439734 441330
950 450499 450775
960 460254 460320
970 469845 469965
980 478582 479710
990 489464 489555
1000 499364 499500
