# n UA SA USL SSL UDL SDL
100 100 6 100 100 100 100 
200 200 7 200 200 200 200 
300 300 8 300 300 300 300 
400 400 8 400 400 400 400 
500 500 8 500 500 500 500 
600 600 9 600 600 600 600 
700 700 9 700 700 700 700 
800 800 9 800 800 800 800 
900 900 9 900 900 900 900 
1000 1000 9 1000 1000 1000 1000 
1100 1100 10 1100 1100 1100 1100 
1200 1200 10 1200 1200 1200 1200 
1300 1300 10 1300 1300 1300 1300 
1400 1400 10 1400 1400 1400 1400 
1500 1500 10 1500 1500 1500 1500 
1600 1600 10 1600 1600 1600 1600 
1700 1700 10 1700 1700 1700 1700 
1800 1800 10 1800 1800 1800 1800 
1900 1900 10 1900 1900 1900 1900 
2000 2000 10 2000 2000 2000 2000 
2100 2100 11 2100 2100 2100 2100 
2200 2200 11 2200 2200 2200 2200 
2300 2300 11 2300 2300 2300 2300 
2400 2400 11 2400 2400 2400 2400 
2500 2500 11 2500 2500 2500 2500 
2600 2600 11 2600 2600 2600 2600 
2700 2700 11 2700 2700 2700 2700 
2800 2800 11 2800 2800 2800 2800 
2900 2900 11 2900 2900 2900 2900 
3000 3000 11 3000 3000 3000 3000 
3100 3100 11 3100 3100 3100 3100 
3200 3200 11 3200 3200 3200 3200 
3300 3300 11 3300 3300 3300 3300 
3400 3400 11 3400 3400 3400 3400 
3500 3500 11 3500 3500 3500 3500 
3600 3600 11 3600 3600 3600 3600 
3700 3700 11 3700 3700 3700 3700 
3800 3800 11 3800 3800 3800 3800 
3900 3900 11 3900 3900 3900 3900 
4000 4000 11 4000 4000 4000 4000 
4100 4100 12 4100 4100 4100 4100 
4200 4200 12 4200 4200 4200 4200 
4300 4300 12 4300 4300 4300 4300 
4400 4400 12 4400 4400 4400 4400 
4500 4500 12 4500 4500 4500 4500 
4600 4600 12 4600 4600 4600 4600 
4700 4700 12 4700 4700 4700 4700 
4800 4800 12 4800 4800 4800 4800 
4900 4900 12 4900 4900 4900 4900 
5000 5000 12 5000 5000 5000 5000 
5100 5100 12 5100 5100 5100 5100 
5200 5200 12 5200 5200 5200 5200 
5300 5300 12 5300 5300 5300 5300 
5400 5400 12 5400 5400 5400 5400 
5500 5500 12 5500 5500 5500 5500 
5600 5600 12 5600 5600 5600 5600 
5700 5700 12 5700 5700 5700 5700 
5800 5800 12 5800 5800 5800 5800 
5900 5900 12 5900 5900 5900 5900 
6000 6000 12 6000 6000 6000 6000 
6100 6100 12 6100 6100 6100 6100 
6200 6200 12 6200 6200 6200 6200 
6300 6300 12 6300 6300 6300 6300 
6400 6400 12 6400 6400 6400 6400 
6500 6500 12 6500 6500 6500 6500 
6600 6600 12 6600 6600 6600 6600 
6700 6700 12 6700 6700 6700 6700 
6800 6800 12 6800 6800 6800 6800 
6900 6900 12 6900 6900 6900 6900 
7000 7000 12 7000 7000 7000 7000 
7100 7100 12 7100 7100 7100 7100 
7200 7200 12 7200 7200 7200 7200 
7300 7300 12 7300 7300 7300 7300 
7400 7400 12 7400 7400 7400 7400 
7500 7500 12 7500 7500 7500 7500 
7600 7600 12 7600 7600 7600 7600 
7700 7700 12 7700 7700 7700 7700 
7800 7800 12 7800 7800 7800 7800 
7900 7900 12 7900 7900 7900 7900 
8000 8000 12 8000 8000 8000 8000 
8100 8100 12 8100 8100 8100 8100 
8200 8200 13 8200 8200 8200 8200 
8300 8300 13 8300 8300 8300 8300 
8400 8400 13 8400 8400 8400 8400 
8500 8500 13 8500 8500 8500 8500 
8600 8600 13 8600 8600 8600 8600 
8700 8700 13 8700 8700 8700 8700 
8800 8800 13 8800 8800 8800 8800 
8900 8900 13 8900 8900 8900 8900 
9000 9000 13 9000 9000 9000 9000 
9100 9100 13 9100 9100 9100 9100 
9200 9200 13 9200 9200 9200 9200 
9300 9300 13 9300 9300 9300 9300 
9400 9400 13 9400 9400 9400 9400 
9500 9500 13 9500 9500 9500 9500 
9600 9600 13 9600 9600 9600 9600 
9700 9700 13 9700 9700 9700 9700 
9800 9800 13 9800 9800 9800 9800 
9900 9900 13 9900 9900 9900 9900 
10000 10000 13 10000 10000 10000 10000 
