# Input_Size Normal_Merge_Sort Three_Way_Merge_Sort
100 533 266
200 1268 703
300 2100 1084
400 2961 1610
500 3875 2256
600 4784 2715
700 5745 3219
800 6729 3664
900 7714 4125
1000 8690 4877
1100 9710 5518
1200 10770 6007
1300 11814 6598
1400 12936 7316
1500 13992 8247
1600 15000 8804
1700 16092 9296
1800 17220 9996
1900 18274 10385
2000 19405 11189
2100 20466 11504
2200 21688 12013
2300 22846 12659
2400 23947 13324
2500 25136 14011
2600 26303 14757
2700 27481 15128
2800 28676 15935
2900 29737 16817
3000 30926 17595
3100 32051 18207
3200 33287 18748
3300 34445 19644
3400 35632 20481
3500 36857 21064
3600 38045 21518
3700 39199 21745
3800 40415 22490
3900 41621 23743
4000 42839 24548
4100 44038 25294
4200 45198 25925
4300 46448 26523
4400 47766 28353
4500 48954 29032
4600 50307 29901
4700 51451 30348
4800 52717 30912
4900 54049 31822
5000 55235 32081
5100 56440 32734
5200 57727 33388
5300 59007 34252
5400 60216 34827
5500 61451 35442
5600 62718 35843
5700 64070 36829
5800 65320 37793
5900 66550 38737
6000 67897 39628
6100 68991 39628
6200 70455 40411
6300 71679 41073
6400 73010 41929
6500 74209 42423
6600 75554 42193
6700 76809 43155
6800 78078 43829
6900 79403 44569
7000 80666 45461
7100 81918 46077
7200 83256 46907
7300 84470 47962
7400 85902 48740
7500 87103 49403
7600 88413 50118
7700 89750 50636
7800 91024 52079
7900 92292 52238
8000 93600 52943
8100 94922 53179
8200 96215 54062
8300 97726 55220
8400 98891 56003
8500 100206 56307
8600 101605 57700
8700 102938 58874
8800 104271 60271
8900 105600 61022
9000 107005 61385
9100 108370 62550
9200 109839 63610
9300 110979 64308
9400 112384 64957
9500 113734 64963
9600 114989 65598
9700 116385 66447
9800 117690 67704
9900 118987 68935
10000 120343 68615
